purchase_order_id,order_date,expected_delivery_date,warehouse_id,sku,supplier_id,ordered_units,unit_cost,status
PO-00056,2026-01-10,2026-01-15,WH-NORTH,SKU-1004,SUP-002,336,1.58,received
PO-00057,2025-03-03,2025-03-11,WH-SOUTH,SKU-1077,SUP-003,96,1.82,received
PO-00058,2025-07-16,2025-07-25,WH-CENTER,SKU-1078,SUP-003,108,4.04,received
PO-00059,2025-06-11,2025-06-14,WH-NORTH,SKU-1107,SUP-004,576,6.06,received
PO-00060,2026-06-04,2026-06-11,WH-NORTH,SKU-1010,SUP-002,96,1.37,delayed
PO-00061,2025-05-27,2025-05-30,WH-CENTER,SKU-1035,SUP-001,168,2.21,received
PO-00062,2025-09-10,2025-09-17,WH-CENTER,SKU-1097,SUP-005,192,6.87,received
PO-00063,2025-04-03,2025-04-06,WH-SOUTH,SKU-1036,SUP-001,108,4.34,received
PO-00064,2026-05-09,2026-05-16,WH-NORTH,SKU-1069,SUP-003,60,7.01,received
PO-00065,2025-10-14,2025-10-20,WH-NORTH,SKU-1097,SUP-005,144,6.87,received
PO-00066,2025-11-29,2025-12-03,WH-CENTER,SKU-1119,SUP-004,192,2.85,received
PO-00067,2025-09-06,2025-09-15,WH-CENTER,SKU-1063,SUP-003,96,4.14,received
PO-00068,2026-01-11,2026-01-17,WH-NORTH,SKU-1082,SUP-003,108,4.09,received
PO-00069,2025-04-20,2025-04-29,WH-CENTER,SKU-1072,SUP-003,168,5.09,received
PO-00070,2025-03-23,2025-03-29,WH-SOUTH,SKU-1105,SUP-005,96,4.03,received
PO-00071,2025-08-20,2025-08-25,WH-CENTER,SKU-1097,SUP-005,96,6.87,received
PO-00072,2025-12-01,2025-12-06,WH-SOUTH,SKU-1004,SUP-002,432,1.58,received
PO-00073,2025-07-15,2025-07-20,WH-SOUTH,SKU-1025,SUP-006,96,0.78,received
PO-00074,2026-04-18,2026-04-26,WH-NORTH,SKU-1081,SUP-003,96,3.74,received
PO-00075,2025-08-05,2025-08-08,WH-SOUTH,SKU-1110,SUP-004,96,4.32,received
PO-00076,2025-04-23,2025-04-28,WH-NORTH,SKU-1034,SUP-001,108,0.96,received
PO-00077,2025-08-20,2025-08-26,WH-CENTER,SKU-1082,SUP-003,84,4.09,received
PO-00078,2025-01-02,2025-01-07,WH-CENTER,SKU-1033,SUP-001,480,3.03,received
PO-00079,2025-03-02,2025-03-07,WH-SOUTH,SKU-1108,SUP-004,336,1.87,received
PO-00080,2025-11-25,2025-11-30,WH-CENTER,SKU-1111,SUP-004,108,3.72,received
PO-00081,2025-08-18,2025-08-22,WH-NORTH,SKU-1007,SUP-002,504,1.15,received
PO-00082,2026-04-05,2026-04-13,WH-NORTH,SKU-1090,SUP-003,144,5.44,received
PO-00083,2025-06-28,2025-06-30,WH-CENTER,SKU-1045,SUP-001,348,1.22,received
PO-00084,2025-01-30,2025-02-02,WH-CENTER,SKU-1112,SUP-004,120,4.53,received
PO-00085,2025-02-26,2025-03-05,WH-CENTER,SKU-1072,SUP-003,96,5.09,received
PO-00086,2025-08-14,2025-08-19,WH-NORTH,SKU-1112,SUP-004,240,4.53,received
PO-00087,2026-03-16,2026-03-23,WH-SOUTH,SKU-1094,SUP-005,144,6.57,received
PO-00088,2026-02-28,2026-03-06,WH-CENTER,SKU-1027,SUP-006,240,2.25,received
PO-00089,2025-05-27,2025-06-03,WH-CENTER,SKU-1019,SUP-006,816,0.93,received
PO-00090,2025-05-06,2025-05-13,WH-NORTH,SKU-1009,SUP-002,132,1.63,received
PO-00091,2025-12-09,2025-12-15,WH-CENTER,SKU-1003,SUP-002,708,0.63,received
PO-00092,2025-06-29,2025-07-02,WH-SOUTH,SKU-1054,SUP-001,192,1.53,received
PO-00093,2025-10-19,2025-10-22,WH-CENTER,SKU-1047,SUP-001,108,1.03,received
PO-00094,2025-05-03,2025-05-06,WH-NORTH,SKU-1054,SUP-001,108,1.53,received
PO-00095,2026-03-24,2026-04-02,WH-SOUTH,SKU-1082,SUP-003,84,4.09,received
PO-00096,2025-01-28,2025-02-03,WH-CENTER,SKU-1066,SUP-003,120,1.42,received
PO-00097,2025-02-01,2025-02-07,WH-CENTER,SKU-1002,SUP-002,432,0.76,received
PO-00098,2025-10-14,2025-10-21,WH-CENTER,SKU-1017,SUP-006,480,1.15,received
PO-00099,2026-01-21,2026-01-26,WH-NORTH,SKU-1042,SUP-001,72,1.29,received
PO-00100,2025-08-18,2025-08-22,WH-CENTER,SKU-1049,SUP-001,264,0.53,received
PO-00101,2025-09-06,2025-09-11,WH-SOUTH,SKU-1029,SUP-006,192,1.32,received
PO-00102,2025-12-27,2026-01-01,WH-NORTH,SKU-1027,SUP-006,240,2.25,received
PO-00103,2026-03-15,2026-03-18,WH-NORTH,SKU-1042,SUP-001,120,1.29,received
PO-00104,2026-02-26,2026-03-02,WH-CENTER,SKU-1013,SUP-002,264,1.73,received
PO-00105,2025-11-17,2025-11-20,WH-CENTER,SKU-1048,SUP-001,174,1.15,received
PO-00106,2026-01-05,2026-01-07,WH-NORTH,SKU-1044,SUP-001,132,0.97,received
PO-00107,2025-09-11,2025-09-17,WH-CENTER,SKU-1067,SUP-003,96,2.13,received
PO-00108,2026-01-07,2026-01-14,WH-NORTH,SKU-1063,SUP-003,96,4.14,received
PO-00109,2025-07-12,2025-07-16,WH-CENTER,SKU-1043,SUP-001,408,2.58,received
PO-00110,2026-04-12,2026-04-14,WH-CENTER,SKU-1056,SUP-001,228,1.17,received
PO-00111,2025-01-22,2025-01-26,WH-CENTER,SKU-1119,SUP-004,96,2.85,received
PO-00112,2025-07-27,2025-07-31,WH-NORTH,SKU-1048,SUP-001,546,1.15,received
PO-00113,2025-12-30,2026-01-05,WH-NORTH,SKU-1016,SUP-006,96,2.48,received
PO-00114,2025-02-07,2025-02-10,WH-SOUTH,SKU-1041,SUP-001,372,3.57,received
PO-00115,2026-03-21,2026-03-26,WH-SOUTH,SKU-1011,SUP-002,384,2.11,received
PO-00116,2025-07-09,2025-07-15,WH-CENTER,SKU-1021,SUP-006,372,0.63,received
PO-00117,2025-11-12,2025-11-15,WH-SOUTH,SKU-1041,SUP-001,96,3.57,received
PO-00118,2026-02-12,2026-02-15,WH-NORTH,SKU-1038,SUP-001,210,1.48,received
PO-00119,2026-02-28,2026-03-02,WH-CENTER,SKU-1046,SUP-001,240,0.6,received
PO-00120,2025-11-26,2025-11-28,WH-CENTER,SKU-1046,SUP-001,480,0.6,received
PO-00121,2025-02-09,2025-02-12,WH-CENTER,SKU-1038,SUP-001,90,1.48,received
PO-00122,2025-05-03,2025-05-10,WH-NORTH,SKU-1009,SUP-002,372,1.63,received
PO-00123,2025-01-01,2025-01-10,WH-CENTER,SKU-1080,SUP-003,168,2.61,received
PO-00124,2026-01-27,2026-01-31,WH-CENTER,SKU-1107,SUP-004,606,6.06,received
PO-00125,2025-12-28,2026-01-03,WH-NORTH,SKU-1002,SUP-002,144,0.76,received
PO-00126,2025-09-06,2025-09-09,WH-NORTH,SKU-1037,SUP-001,576,1.61,received
PO-00127,2025-08-14,2025-08-22,WH-SOUTH,SKU-1081,SUP-003,216,3.74,received
PO-00128,2026-01-23,2026-01-27,WH-SOUTH,SKU-1001,SUP-002,444,1.28,received
PO-00129,2025-10-02,2025-10-09,WH-CENTER,SKU-1002,SUP-002,768,0.76,received
PO-00130,2026-06-10,2026-06-16,WH-SOUTH,SKU-1078,SUP-003,144,4.04,ordered
PO-00131,2025-05-27,2025-06-03,WH-SOUTH,SKU-1105,SUP-005,48,4.03,received
PO-00132,2025-08-06,2025-08-14,WH-SOUTH,SKU-1098,SUP-005,264,4.85,received
PO-00133,2025-06-26,2025-07-01,WH-NORTH,SKU-1051,SUP-001,372,1.37,received
PO-00134,2026-06-04,2026-06-08,WH-CENTER,SKU-1039,SUP-001,384,0.95,received
PO-00135,2025-11-18,2025-11-23,WH-CENTER,SKU-1118,SUP-004,270,2.19,received
PO-00136,2025-11-13,2025-11-16,WH-SOUTH,SKU-1033,SUP-001,336,3.03,received
PO-00137,2025-03-19,2025-03-24,WH-NORTH,SKU-1105,SUP-005,48,4.03,received
PO-00138,2026-04-27,2026-05-01,WH-NORTH,SKU-1010,SUP-002,468,1.37,received
PO-00139,2025-04-24,2025-04-29,WH-CENTER,SKU-1022,SUP-006,432,2.09,received
PO-00140,2025-06-23,2025-06-29,WH-CENTER,SKU-1101,SUP-005,72,3.95,received
PO-00141,2025-10-15,2025-10-21,WH-SOUTH,SKU-1082,SUP-003,204,4.09,received
PO-00142,2025-11-22,2025-11-29,WH-CENTER,SKU-1022,SUP-006,480,2.09,received
PO-00143,2025-05-31,2025-06-05,WH-SOUTH,SKU-1111,SUP-004,576,3.72,received
PO-00144,2025-05-02,2025-05-11,WH-SOUTH,SKU-1084,SUP-003,48,3.85,received
PO-00145,2026-05-04,2026-05-13,WH-NORTH,SKU-1071,SUP-003,48,2.93,received
PO-00146,2026-03-03,2026-03-09,WH-SOUTH,SKU-1027,SUP-006,264,2.25,received
PO-00147,2026-01-27,2026-02-04,WH-SOUTH,SKU-1079,SUP-003,48,2.87,received
PO-00148,2026-02-06,2026-02-13,WH-NORTH,SKU-1087,SUP-003,96,3.99,received
PO-00149,2025-10-04,2025-10-07,WH-NORTH,SKU-1047,SUP-001,336,1.03,received
PO-00150,2026-03-14,2026-03-16,WH-CENTER,SKU-1053,SUP-001,312,1.54,received
PO-00151,2026-04-26,2026-05-05,WH-CENTER,SKU-1081,SUP-003,96,3.74,received
PO-00152,2025-06-29,2025-07-02,WH-NORTH,SKU-1034,SUP-001,192,0.96,received
PO-00153,2025-06-21,2025-06-26,WH-CENTER,SKU-1103,SUP-005,288,5.05,received
PO-00154,2025-08-17,2025-08-24,WH-SOUTH,SKU-1023,SUP-006,702,1.74,received
PO-00155,2025-05-05,2025-05-08,WH-SOUTH,SKU-1042,SUP-001,336,1.29,received
PO-00156,2026-06-02,2026-06-08,WH-SOUTH,SKU-1071,SUP-003,60,2.93,received
PO-00157,2025-12-05,2025-12-11,WH-CENTER,SKU-1098,SUP-005,48,4.85,received
PO-00158,2025-12-27,2025-12-31,WH-NORTH,SKU-1053,SUP-001,192,1.54,received
PO-00159,2025-09-13,2025-09-20,WH-NORTH,SKU-1089,SUP-003,96,2.12,received
PO-00160,2025-03-30,2025-04-03,WH-CENTER,SKU-1106,SUP-004,144,3.09,received
PO-00161,2025-04-05,2025-04-07,WH-NORTH,SKU-1033,SUP-001,528,3.03,received
PO-00162,2026-02-06,2026-02-13,WH-CENTER,SKU-1098,SUP-005,264,4.85,received
PO-00163,2026-01-08,2026-01-11,WH-SOUTH,SKU-1047,SUP-001,72,1.03,received
PO-00164,2025-01-01,2025-01-07,WH-SOUTH,SKU-1080,SUP-003,120,2.61,received
PO-00165,2026-01-04,2026-01-09,WH-CENTER,SKU-1007,SUP-002,600,1.15,received
PO-00166,2025-07-28,2025-08-03,WH-SOUTH,SKU-1084,SUP-003,48,3.85,received
PO-00167,2025-09-01,2025-09-10,WH-CENTER,SKU-1086,SUP-003,252,3.07,received
PO-00168,2025-08-18,2025-08-22,WH-SOUTH,SKU-1003,SUP-002,480,0.63,received
PO-00169,2025-06-17,2025-06-23,WH-SOUTH,SKU-1028,SUP-006,720,2.12,received
PO-00170,2025-02-03,2025-02-10,WH-SOUTH,SKU-1090,SUP-003,192,5.44,received
PO-00171,2025-04-06,2025-04-13,WH-NORTH,SKU-1030,SUP-006,192,0.79,received
PO-00172,2025-12-05,2025-12-12,WH-SOUTH,SKU-1074,SUP-003,144,3.05,received
PO-00173,2025-05-31,2025-06-02,WH-NORTH,SKU-1056,SUP-001,84,1.17,received
PO-00174,2026-03-30,2026-04-05,WH-CENTER,SKU-1015,SUP-002,384,2.14,received
PO-00175,2026-05-12,2026-05-17,WH-SOUTH,SKU-1059,SUP-001,336,0.56,received
PO-00176,2026-05-03,2026-05-10,WH-NORTH,SKU-1073,SUP-003,84,6.24,received
PO-00177,2025-03-15,2025-03-18,WH-CENTER,SKU-1114,SUP-004,624,2.92,received
PO-00178,2025-08-12,2025-08-18,WH-SOUTH,SKU-1019,SUP-006,864,0.93,received
PO-00179,2026-05-19,2026-05-22,WH-CENTER,SKU-1109,SUP-004,240,2.43,received
PO-00180,2026-06-12,2026-06-19,WH-SOUTH,SKU-1103,SUP-005,240,5.05,ordered
PO-00181,2025-12-20,2025-12-24,WH-SOUTH,SKU-1007,SUP-002,600,1.15,received
PO-00182,2025-07-24,2025-07-31,WH-SOUTH,SKU-1082,SUP-003,96,4.09,received
PO-00183,2025-03-02,2025-03-09,WH-CENTER,SKU-1087,SUP-003,60,3.99,received
PO-00184,2026-04-01,2026-04-04,WH-CENTER,SKU-1054,SUP-001,48,1.53,received
PO-00185,2025-10-25,2025-10-28,WH-NORTH,SKU-1120,SUP-004,192,1.6,received
PO-00186,2025-05-08,2025-05-13,WH-SOUTH,SKU-1022,SUP-006,576,2.09,received
PO-00187,2025-05-31,2025-06-05,WH-CENTER,SKU-1017,SUP-006,144,1.15,received
PO-00188,2025-10-18,2025-10-24,WH-SOUTH,SKU-1084,SUP-003,144,3.85,received
PO-00189,2025-01-12,2025-01-20,WH-CENTER,SKU-1085,SUP-003,48,2.74,received
PO-00190,2026-01-07,2026-01-10,WH-SOUTH,SKU-1106,SUP-004,96,3.09,received
PO-00191,2025-07-11,2025-07-20,WH-CENTER,SKU-1082,SUP-003,120,4.09,received
PO-00192,2026-04-17,2026-04-22,WH-NORTH,SKU-1011,SUP-002,480,2.11,received
PO-00193,2026-05-31,2026-06-07,WH-CENTER,SKU-1073,SUP-003,48,6.24,received
PO-00194,2025-10-26,2025-10-31,WH-SOUTH,SKU-1097,SUP-005,144,6.87,received
PO-00195,2025-10-07,2025-10-14,WH-SOUTH,SKU-1071,SUP-003,108,2.93,received
PO-00196,2026-06-05,2026-06-14,WH-SOUTH,SKU-1070,SUP-003,216,4.73,delayed
PO-00197,2025-06-17,2025-06-25,WH-SOUTH,SKU-1096,SUP-005,48,7.66,received
PO-00198,2025-01-12,2025-01-15,WH-CENTER,SKU-1048,SUP-001,108,1.15,received
PO-00199,2025-07-20,2025-07-26,WH-NORTH,SKU-1099,SUP-005,108,2.61,received
PO-00200,2025-10-29,2025-11-05,WH-CENTER,SKU-1003,SUP-002,510,0.63,received
PO-00201,2025-11-27,2025-12-05,WH-SOUTH,SKU-1085,SUP-003,144,2.74,received
PO-00202,2025-05-19,2025-05-24,WH-SOUTH,SKU-1030,SUP-006,336,0.79,received
PO-00203,2025-12-23,2026-01-01,WH-CENTER,SKU-1067,SUP-003,96,2.13,received
PO-00204,2025-11-07,2025-11-12,WH-SOUTH,SKU-1043,SUP-001,558,2.58,received
PO-00205,2025-10-31,2025-11-07,WH-SOUTH,SKU-1072,SUP-003,72,5.09,received
PO-00206,2025-07-27,2025-08-03,WH-NORTH,SKU-1025,SUP-006,168,0.78,received
PO-00207,2025-02-11,2025-02-20,WH-CENTER,SKU-1078,SUP-003,96,4.04,received
PO-00208,2026-01-20,2026-01-22,WH-CENTER,SKU-1058,SUP-001,72,1.68,received
PO-00209,2025-01-13,2025-01-20,WH-CENTER,SKU-1015,SUP-002,192,2.14,received
PO-00210,2026-01-27,2026-01-30,WH-SOUTH,SKU-1034,SUP-001,240,0.96,received
PO-00211,2025-10-05,2025-10-09,WH-CENTER,SKU-1040,SUP-001,144,3.06,received
PO-00212,2025-04-15,2025-04-18,WH-SOUTH,SKU-1051,SUP-001,780,1.37,received
PO-00213,2025-03-10,2025-03-15,WH-CENTER,SKU-1099,SUP-005,60,2.61,received
PO-00214,2025-07-19,2025-07-24,WH-SOUTH,SKU-1026,SUP-006,120,2.75,received
PO-00215,2025-08-27,2025-08-30,WH-NORTH,SKU-1039,SUP-001,624,0.95,received
PO-00216,2025-01-07,2025-01-16,WH-SOUTH,SKU-1082,SUP-003,180,4.09,received
PO-00217,2026-02-09,2026-02-14,WH-CENTER,SKU-1008,SUP-002,324,1.94,received
PO-00218,2025-07-27,2025-08-03,WH-NORTH,SKU-1020,SUP-006,240,2.27,received
PO-00219,2026-03-02,2026-03-05,WH-CENTER,SKU-1117,SUP-004,612,3.38,received
PO-00220,2025-11-06,2025-11-09,WH-SOUTH,SKU-1032,SUP-001,192,3.48,received
PO-00221,2025-07-15,2025-07-21,WH-CENTER,SKU-1004,SUP-002,96,1.58,received
PO-00222,2025-03-12,2025-03-18,WH-NORTH,SKU-1096,SUP-005,144,7.66,received
PO-00223,2025-11-18,2025-11-21,WH-CENTER,SKU-1060,SUP-001,264,1.65,received
PO-00224,2025-07-08,2025-07-10,WH-SOUTH,SKU-1045,SUP-001,174,1.22,received
PO-00225,2025-09-14,2025-09-21,WH-CENTER,SKU-1071,SUP-003,84,2.93,received
PO-00226,2026-01-26,2026-02-02,WH-NORTH,SKU-1087,SUP-003,96,3.99,received
PO-00227,2025-11-09,2025-11-12,WH-NORTH,SKU-1052,SUP-001,96,1.51,received
PO-00228,2025-02-13,2025-02-19,WH-SOUTH,SKU-1028,SUP-006,528,2.12,received
PO-00229,2026-05-09,2026-05-16,WH-CENTER,SKU-1004,SUP-002,384,1.58,received
PO-00230,2025-12-04,2025-12-11,WH-SOUTH,SKU-1077,SUP-003,168,1.82,received
PO-00231,2025-06-05,2025-06-14,WH-SOUTH,SKU-1085,SUP-003,144,2.74,received
PO-00232,2026-03-24,2026-03-30,WH-SOUTH,SKU-1115,SUP-004,312,3.98,received
PO-00233,2025-02-04,2025-02-11,WH-CENTER,SKU-1065,SUP-003,36,5.73,received
PO-00234,2026-04-02,2026-04-07,WH-NORTH,SKU-1015,SUP-002,192,2.14,received
PO-00235,2026-05-23,2026-05-29,WH-CENTER,SKU-1010,SUP-002,432,1.37,received
PO-00236,2025-03-31,2025-04-05,WH-CENTER,SKU-1115,SUP-004,240,3.98,received
PO-00237,2026-05-23,2026-06-01,WH-CENTER,SKU-1072,SUP-003,144,5.09,received
PO-00238,2026-02-17,2026-02-21,WH-CENTER,SKU-1110,SUP-004,288,4.32,received
PO-00239,2026-03-27,2026-04-02,WH-CENTER,SKU-1027,SUP-006,96,2.25,received
PO-00240,2026-06-05,2026-06-13,WH-CENTER,SKU-1080,SUP-003,120,2.61,delayed
PO-00241,2026-02-01,2026-02-07,WH-NORTH,SKU-1027,SUP-006,264,2.25,received
PO-00242,2025-08-12,2025-08-18,WH-CENTER,SKU-1026,SUP-006,480,2.75,received
PO-00243,2025-07-05,2025-07-09,WH-CENTER,SKU-1023,SUP-006,348,1.74,received
PO-00244,2025-03-22,2025-03-28,WH-NORTH,SKU-1014,SUP-002,192,1.28,received
PO-00245,2025-05-07,2025-05-12,WH-SOUTH,SKU-1017,SUP-006,336,1.15,received
PO-00246,2025-09-24,2025-10-02,WH-CENTER,SKU-1064,SUP-003,180,3.55,received
PO-00247,2025-09-01,2025-09-08,WH-SOUTH,SKU-1009,SUP-002,300,1.63,received
PO-00248,2025-02-01,2025-02-04,WH-NORTH,SKU-1039,SUP-001,432,0.95,received
PO-00249,2025-04-18,2025-04-20,WH-NORTH,SKU-1057,SUP-001,156,0.97,received
PO-00250,2025-02-27,2025-03-03,WH-NORTH,SKU-1028,SUP-006,360,2.12,received
PO-00251,2025-03-12,2025-03-18,WH-NORTH,SKU-1017,SUP-006,384,1.15,received
PO-00252,2025-09-22,2025-09-30,WH-CENTER,SKU-1081,SUP-003,72,3.74,received
PO-00253,2026-06-13,2026-06-22,WH-NORTH,SKU-1079,SUP-003,156,2.87,in_transit
PO-00254,2025-04-16,2025-04-23,WH-NORTH,SKU-1081,SUP-003,96,3.74,received
PO-00255,2025-04-03,2025-04-09,WH-SOUTH,SKU-1081,SUP-003,216,3.74,received
PO-00256,2025-08-09,2025-08-12,WH-CENTER,SKU-1052,SUP-001,288,1.51,received
PO-00257,2025-08-21,2025-08-26,WH-SOUTH,SKU-1052,SUP-001,156,1.51,received
PO-00258,2025-11-10,2025-11-17,WH-CENTER,SKU-1073,SUP-003,60,6.24,received
PO-00259,2026-01-22,2026-01-27,WH-CENTER,SKU-1102,SUP-005,144,6.34,received
PO-00260,2025-10-22,2025-10-25,WH-NORTH,SKU-1045,SUP-001,192,1.22,received
PO-00261,2025-07-27,2025-08-03,WH-SOUTH,SKU-1081,SUP-003,120,3.74,received
PO-00262,2025-05-13,2025-05-19,WH-CENTER,SKU-1081,SUP-003,72,3.74,received
PO-00263,2025-05-18,2025-05-23,WH-NORTH,SKU-1023,SUP-006,768,1.74,received
PO-00264,2026-01-29,2026-02-03,WH-SOUTH,SKU-1008,SUP-002,84,1.94,received
PO-00265,2025-10-24,2025-10-29,WH-CENTER,SKU-1059,SUP-001,456,0.56,received
PO-00266,2025-07-04,2025-07-10,WH-NORTH,SKU-1105,SUP-005,48,4.03,received
PO-00267,2025-11-22,2025-11-28,WH-NORTH,SKU-1089,SUP-003,192,2.12,received
PO-00268,2026-02-08,2026-02-13,WH-SOUTH,SKU-1116,SUP-004,240,1.66,received
PO-00269,2025-07-03,2025-07-08,WH-CENTER,SKU-1109,SUP-004,504,2.43,received
PO-00270,2026-04-19,2026-04-26,WH-NORTH,SKU-1096,SUP-005,144,7.66,received
PO-00271,2026-03-29,2026-04-06,WH-CENTER,SKU-1064,SUP-003,72,3.55,received
PO-00272,2026-01-28,2026-01-30,WH-SOUTH,SKU-1059,SUP-001,192,0.56,received
PO-00273,2025-12-16,2025-12-18,WH-CENTER,SKU-1057,SUP-001,258,0.97,received
PO-00274,2025-07-08,2025-07-15,WH-CENTER,SKU-1069,SUP-003,24,7.01,received
PO-00275,2025-03-15,2025-03-21,WH-CENTER,SKU-1091,SUP-005,282,3.01,received
PO-00276,2025-11-16,2025-11-23,WH-CENTER,SKU-1090,SUP-003,96,5.44,received
PO-00277,2025-09-28,2025-10-03,WH-SOUTH,SKU-1008,SUP-002,300,1.94,received
PO-00278,2025-10-27,2025-10-31,WH-CENTER,SKU-1109,SUP-004,264,2.43,received
PO-00279,2025-01-02,2025-01-09,WH-SOUTH,SKU-1082,SUP-003,84,4.09,received
PO-00280,2025-12-02,2025-12-09,WH-CENTER,SKU-1066,SUP-003,264,1.42,received
PO-00281,2026-04-03,2026-04-06,WH-CENTER,SKU-1038,SUP-001,432,1.48,received
